AAT  f/15  1979/06/11
: NODA
: EQUAT
-31 16 37
12 00 11.06  -66 47 22.7    12 00 08.00  -66 47 46.9    17 59     -3.867
13 22 35.17  -75 49 21.1    13 22 22.88  -75 49 59.3    18 00     -3.633
11 58 14.34  -58 20 44.2    11 58 15.61  -58 21 09.0    18 02     -3.721
13 24 13.13  -51 04 52.2    13 24 16.10  -51 05 33.9    18 03     -3.671
14 42 37.70  -67 18 44.0    14 42 36.49  -67 19 40.1    18 04     -2.440
16 07 11.65  -78 58 00.7    16 07 05.01  -78 59 07.4    18 05     -1.790
14 44 06.19  -59 28 54.6    14 44 08.21  -59 29 50.2    18 07     -2.303
13 20 40.34  -42 01 54.5    13 20 45.05  -42 02 34.9    18 08     -4.012
14 40 14.03  -33 51 56.8    14 40 20.55  -33 52 51.6    18 09     -2.654
15 59 02.47  -52 12 08.7    15 59 07.98  -52 13 14.7    18 10     -2.160
17 26 36.48  -70 36 11.6    17 26 41.30  -70 37 25.2    18 12      0.818
18 50 54.16  -85 34 03.4    18 50 56.42  -85 35 18.4    18 13      2.824
17 24 49.61  -62 05 33.9    17 24 56.27  -62 06 46.3    18 15      0.728
16 05 26.91  -44 49 38.1    16 05 33.33  -44 50 45.3    18 16     -2.058
14 44 13.76  -27 07 33.5    14 44 20.94  -27 08 30.2    18 17     -2.785
14 40 47.92  +00 27 59.9    14 40 57.16  +00 27 00.6    18 19     -2.895
16 01 30.57  -18 07 07.1    16 01 38.87  -18 08 16.4    18 20     -2.420
17 23 22.00  -36 26 17.4    17 23 30.99  -36 27 33.2    18 22      0.656
18 41 08.46  -54 29 30.7    18 41 18.59  -54 30 48.0    18 23      2.048
20 06 16.67  -71 42 46.4    20 06 31.02  -71 43 56.0    18 24      3.527
21 23 53.59  -63 56 52.2    21 24 10.74  -63 57 48.7    18 25      3.620
20 04 34.99  -45 01 57.4    20 04 47.70  -45 03 10.8    18 26      3.307
18 40 07.31  -27 58 32.9    18 40 17.90  -27 59 52.2    18 27      1.802
17 22 52.11  -09 20 37.9    17 23 01.85  -09 21 55.1    18 29      0.378
16 02 54.70  +08 16 24.0    16 03 04.12  +08 15 10.6    18 30     -2.399
16 01 32.99  +15 55 33.2    16 01 42.88  +15 54 20.6    18 32     -2.458
17 18 18.87  -02 44 05.2    17 18 28.61  -02 45 23.3    18 33     -0.344
18 44 44.14  -19 06 18.7    18 44 54.80  -19 07 39.9    18 34      1.917
20 05 20.28  -37 08 39.3    20 05 32.65  -37 09 55.3    18 36      3.458
21 23 37.68  -55 30 42.0    21 23 53.18  -55 31 44.5    18 37      3.498
22 49 15.69  -73 24 21.8    22 49 38.41  -73 25 03.1    18 38      2.297
00 02 12.46  -65 56 25.2    00 02 32.31  -65 56 56.5    18 39      1.763
22 44 59.08  -48 29 43.2    22 45 14.92  -48 30 28.6    18 40      2.538
21 20 27.80  -30 14 07.6    21 20 41.14  -30 15 13.9    18 41      3.384
20 01 25.70  -12 46 07.0    20 01 37.36  -12 47 26.0    18 43      3.385
18 42 05.69  +06 11 37.0    18 42 16.24  +06 10 12.7    18 44      1.564
17 23 08.85  +23 31 19.7    17 23 18.95  +23 29 58.1    18 45     -0.743
18 41 28.39  +14 01 14.1    18 41 39.02  +13 59 46.7    18 46      1.503
20 01 32.72  -03 24 24.7    20 01 44.22  -03 25 46.8    18 47      3.452
21 19 29.12  -22 28 33.0    21 19 41.84  -22 29 41.2    18 48      3.188
22 40 57.11  -39 11 27.1    22 41 11.92  -39 12 18.0    18 49      3.045
00 01 28.46  -57 44 50.8    00 01 46.12  -57 45 27.4    18 51      1.846
00 03 24.63  -31 17 37.0    00 03 38.61  -31 18 17.0    18 52      1.585
22 43 06.86  -14 43 42.1    22 43 19.70  -14 44 36.2    18 53      2.859
21 31 03.66  +03 36 49.9    21 31 15.24  +03 35 38.1    18 54      3.406
20 00 02.96  +22 46 08.2    20 00 13.85  +22 44 41.0    18 55      3.548
21 21 40.03  +12 47 06.5    21 21 51.06  +12 45 50.1    18 56      3.404
22 43 45.43  -05 02 12.6    22 43 57.49  -05 03 10.4    18 58      2.928
23 57 19.59  -24 17 43.5    23 57 33.01  -24 18 26.1    18 59      1.939
END
