0.3m Ceravolo, AP1600, Apache Ridge Observatory
:NODA
:EQUAT
35 33 15.84
20 50 5.5  +27 22 39.7  20 50 58.80  +27 27 23.0  21 11.35  WEST
20 55 47.75  -17 6 52.6  20 56 57.80  -17 02 02.0  21 15.26  WEST
20 43 26.44  -22 27 14.4  20 44 39.00  -22 22 41.0  21 16.02  WEST
20 34 1.27  +18 11 7.4  20 34 58.00  +18 15 29.0  21 17.01  WEST
20 14 53.45  +3 24 24.8  20 15 56.00  +03 28 17.0  21 17.9  WEST
20 30 25.27  +27 49 58.1  20 31 17.60  +27 54 13.0  21 18.86  WEST
19 16 11.35  -25 40 0.8  19 17 28.00  -25 37 44.0  21 19.98  WEST
18 53 0.46  -16 22 53.4  18 54 12.40  -16 21 16.0  21 20.7  WEST
18 24 59.87  -18 32 19.7  18 26 13.20  -18 31 33.0  21 21.46  WEST
19 23 38.72  +8 39 36.0  19 24 38.80  +08 42 07.0  21 22.3  WEST
19 34 45.3  +16 38 29.8  19 35 41.60  +16 41 18.0  21 23.1  WEST
18 0 26.86  -12 59 17.5  18 01 37.20  -12 59 15.0  21 24.06  WEST
17 54 29.84  -3 27 47.9  17 55 35.60  -03 27 57.0  21 24.84  WEST
18 42 44.71  +14 50 32.6  18 43 41.40  +14 51 51.0  21 25.66  WEST
17 21 6.84  +1 26 40.6  17 22 10.20  +01 25 32.0  21 26.55  WEST
19 19 5.66  +27 15 40.7  19 19 56.20  +27 18 03.0  21 27.79  WEST
17 35 2.15  +13 8 16.1  17 35 59.60  +13 07 32.0  21 29.02  WEST
16 54 10.04  +15 37 24.2  16 55 06.60  +15 35 27.0  21 29.67  WEST
18 29 11.51  +29 33 14.8  18 29 59.80  +29 34 10.0  21 30.44  WEST
17 52 32.2  +27 11 36.6  17 53 21.80  +27 11 25.0  21 31.21  WEST
17 17 10.82  +25 52 26.0  17 18 01.60  +25 51 10.0  21 31.99  WEST
15 47 40.67  +28 28 10.9  15 48 32.00  +28 24 25.0  21 33.73  WEST
17 13 27.23  +38 59 6.0  17 14 09.20  +38 57 42.0  21 34.55  WEST
15 58 24.35  +37 49 38.6  15 59 09.60  +37 46 08.0  21 35.31  WEST
17 5 25.73  +46 21 21.2  17 06 01.40  +46 19 43.0  21 36.15  WEST
18 56 32.17  +46 45 57.6  18 57 07.40  +46 47 40.0  21 37.03  WEST
19 34 45.55  +46 28 3.7  19 35 22.80  +46 30 52.0  21 39.1  WEST
20 1 45.19  +44 7 8.4  20 02 26.00  +44 10 41.0  21 39.81  WEST
16 56 48.7  +61 28 30.4  16 57 03.40  +61 26 37.0  21 40.78  WEST
19 9 42.3  +58 28 5.5  19 10 03.00  +58 30 11.0  21 41.7  WEST
19 49 4.08  +53 46 3.0  19 49 34.20  +53 49 16.0  21 42.51  WEST
14 47 10.0  +76 2 32.3  14 46 59.60  +75 57 22.0  21 43.65  WEST
18 39 4.72  +72 57 34.6  18 38 39.20  +72 58 45.0  21 44.72  WEST
20 38 5.24  +76 50 0.6  20 37 37.20  +76 54 26.0  21 45.61  WEST
END
