0.3m Ceravolo, AP1600, Apache Ridge Observatory
:NODA
:EQUAT
35 33 15.84
7 2 41.32  +84 39 47.9  06 58 59.24  +84 43 08.9  22 33.62  EAST
23 39 48.56  +75 45 5.0  23 38 42.83  +75 40 07.0  22 34.75  EAST
1 55 42.96  +81 57 32.0  01 58 24.40  +82 03 37.0  22 35.59  EAST
0 1 35.76  +72 14 11.8  00 02 40.80  +72 21 10.0  22 36.44  EAST
22 51 50.83  +46 44 7.8  22 52 46.50  +46 50 48.0  22 37.51  EAST
23 31 23.84  +59 27 45.0  23 32 22.30  +59 34 40.0  22 38.44  EAST
1 57 11.09  +71 43 29.6  01 58 57.10  +71 49 34.0  22 39.39  EAST
5 2 5.93  +69 9 34.9  05 04 21.30  +69 11 18.0  22 40.3  EAST
3 33 26.46  +65 33 6.8  03 35 20.20  +65 37 15.0  22 41.09  EAST
23 31 25.57  +49 30 28.8  23 32 25.80  +49 37 24.0  22 42.04  EAST
2 3 11.95  +60 42 14.0  02 04 41.90  +60 48 13.0  22 43.32  EAST
0 57 14.54  +54 57 8.6  00 58 28.80  +55 03 54.0  22 44.24  EAST
3 20 22.38  +55 32 13.6  03 21 58.00  +55 36 41.0  22 45.23  EAST
4 34 45.98  +50 7 28.2  04 36 21.40  +50 09 59.0  22 46.11  EAST
2 37 36.16  +50 14 14.6  02 39 01.80  +50 19 37.0  22 46.94  EAST
3 36 4.5  +46 35 4.2  03 37 32.70  +46 39 09.0  22 47.79  EAST
1 36 22.72  +47 19 32.9  01 37 39.40  +47 25 55.0  22 48.69  EAST
1 19 3.14  +45 42 21.2  01 20 17.20  +45 48 55.0  22 49.41  EAST
2 47 27.71  +37 47 27.2  02 48 46.50  +37 52 38.0  22 50.27  EAST
1 58 46.49  +36 36 9.7  02 00 01.10  +36 42 13.0  22 51.18  EAST
3 37 11.39  +25 59 22.2  03 38 26.70  +26 03 26.0  22 52.08  EAST
2 47 38.62  +29 40 42.6  02 48 53.60  +29 45 53.0  22 52.89  EAST
23 21 23.26  +36 30 4.3  23 22 24.10  +36 36 57.0  22 54.43  EAST
2 14 2.4  +26 37 37.6  02 15 14.40  +26 43 26.0  22 55.82  EAST
